Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
"NOL, LLC d/b/a Premier Radiology",TN,Healthcare Provider,810,Theft,Laptop,No
University of Missouri Health Care,MO,Healthcare Provider,1288,Unknown,Paper/Films,No
"Area Agency on Aging, Ohio District 5",OH,Business Associate,78042,Theft,Laptop,Yes
"Gail Gillespie and Associates, LLC",LA,Healthcare Provider,2000,Theft,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device",No
Health Plan of San Mateo,CA,Health Plan,694,Unauthorized Access/Disclosure,Paper/Films,No
Department of Personnel and Administration,CO,Business Associate,3589,Theft,Other,Yes
Yanez Dental Corporation,CA,Healthcare Provider,10190,Theft,"Desktop Computer, Network Server",No
Jackson Health System,FL,Healthcare Provider,1562,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No
Troy Regional Medical Center,AL,Healthcare Provider,880,Unauthorized Access/Disclosure,Paper/Films,No
The Mount Sinai Hospital,NY,Healthcare Provider,712,Theft,Laptop,No
Lansing Community College,MI,,5000,Hacking/IT Incident,Network Server,Yes
Dr Axel Velez,PR,Healthcare Provider,2800,Theft,Desktop Computer,No
"DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale",GA,Healthcare Provider,7500,Theft,Paper/Films,No
Memorial Health Systems,CO,Healthcare Provider,,Unauthorized Access/Disclosure,Electronic Medical Record,No
Beth Israel Deaconess Medical Center,MA,Healthcare Provider,2021,Hacking/IT Incident,Network Server,No
"Assurecare Risk Management, Inc.",IL,Business Associate,25330,Unauthorized Access/Disclosure,Network Server,Yes
Windsor Health Plan,TN,,1378,Unauthorized Access/Disclosure,Paper/Films,Yes
"RxAmerica, a subsidiary of CVS Caremark",TX,Business Associate,4573,Unauthorized Access/Disclosure,Paper/Films,Yes
"Andersen Air Force Base, Guam",VA,Healthcare Provider,700,Improper Disposal,Paper/Films,No
"Austin Center for Therapy and Assessment, LLC",TX,Healthcare Provider,1870,Theft,Laptop,No
Health Care Service Corporation,IL,Health Plan,501,Theft,Paper/Films,No
University of Kentucky - UK HealthCare,KY,Healthcare Provider,3604,Theft,Laptop,No
Treatment Services Northwest,OR,Healthcare Provider,1200,Theft,Desktop Computer,No
Mills-Peninsula Health Services,CA,Healthcare Provider,1500,Unauthorized Access/Disclosure,Paper/Films,No
Brigham and Women's Hospital and Faulkner Hospital ,MA,Healthcare Provider,638,Theft,Other Portable Electronic Device,No
"Ashley Industrial Molding, Inc. Employee Welfare Benefit Plan",IN,,506,Hacking/IT Incident,Network Server,Yes
Med Assets,NJ,Business Associate,8795,Theft,"Other, Other Portable Electronic Device",Yes
Washington State Department of Social and Health Services,WA,Health Plan,3950,Unauthorized Access/Disclosure,Paper/Films,No
The Neurological Institute of Savannah & Center for Spine,GA,Healthcare Provider,63425,Theft,"Other, Other Portable Electronic Device",No
Accuprint ,PR,Business Associate,5848,Theft,Other,Yes
Colorado Department of Health Care Policy and Financing,CO,,,,,No
Texas Health Partners,TX,Business Associate,10345,Theft,Laptop,Yes
Capron Rescue Squad District,IL,Healthcare Provider,815,Unauthorized Access/Disclosure,Laptop,No
MedAssets,NJ,Business Associate,32008,Theft,"Other, Other Portable Electronic Device",Yes
Lexington VAMC,KY,Healthcare Provider,1432,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",No
"SpaMed Solutions, LLC, Edward McMenamin President,",NJ,Business Associate,3000,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device, Paper/Films",Yes
"HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER",IL,Healthcare Provider,2000,Theft,"Desktop Computer, Network Server",No
"Multi-Speciality Collection Services, LLC",CA,Business Associate,19651,Unauthorized Access/Disclosure,Other,Yes
NEA Baptist Clinic,AR,Healthcare Provider,3116,Hacking/IT Incident,Network Server,No
"Muir Orthopaedic Specialists, A Medical Group Inc.",CA,Healthcare Provider,1800,Theft,Paper/Films,No
Jonathan Noel MD,IN,Healthcare Provider,2059,Theft,"Other, Other Portable Electronic Device",No
Texas Health and Human Services Commission,TX,Health Plan,1696,Theft,Laptop,No
Living Healthy Community Clinic,WI,Business Associate,3000,Hacking/IT Incident,Desktop Computer,Yes
Centro de Ortodoncia Inc.,PR,Healthcare Provider,2000,Theft,Paper/Films,No
"John T. Melvin, M.D.& Associates",TX,Healthcare Provider,2541,Theft,Paper/Films,No
"Diversified Resources, Inc.",GA,Healthcare Provider,863,Theft,Laptop,No
Freda J Bowman  MD PA,TX,Healthcare Provider,1300,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No
VA Gulf Coast Veterans Health Care System,MS,Healthcare Provider,1797,Theft,Paper/Films,No
"Bonney Lake Medical Center and Mythili R. Ramachandran, MD",WA,Healthcare Provider,2367,Theft,"Desktop Computer, Laptop",No
"Benefits Administration Services, Inc.",VA,Business Associate,4000,Loss,"Other, Other Portable Electronic Device",Yes
"AllOne Health Management Solutions, Inc.",PA,Business Associate,507,"Theft, Unauthorized Access/Disclosure","Laptop, Paper/Films",Yes
VA Illiana Health Care System,IL,Healthcare Provider,518,Loss,Paper/Films,No
Health Texas Provider Network,TX,Healthcare Provider,1259,Theft,Laptop,No
NYU Hospital for Joint Diseases Inventory Management Department,NY,Healthcare Provider,2600,Theft,Paper/Films,No
Fairview Health Services,MN,Healthcare Provider,14623,Theft,Laptop,No
North Memorial Health Care,MN,Healthcare Provider,9497,Theft,Laptop,No
"Summit Medical Group, PLLC",TN,Healthcare Provider,731,Theft,Paper/Films,No
FIRST PRIORITY LIFE INSURANCE COMPANY,PA,Business Associate,579,"Theft, Unauthorized Access/Disclosure",Paper/Films,Yes
MAPFRE Life,,Health Plan,2209,Theft,"Desktop Computer, Other",No
Henry Ford Health System,MI,Healthcare Provider,520,Theft,Desktop Computer,No
Futurity First Insurance Group,CT,Business Associate,1631,Loss,"Other, Other Portable Electronic Device",Yes
Indiana University,IN,Healthcare Provider,3266,Theft,Laptop,No
"Thomas J O'Laughlin, MD",CA,Business Associate,700,"Theft, Unauthorized Access/Disclosure",Paper/Films,Yes
"Adult & Pediatric Dermatology, PC",MA,Healthcare Provider,2200,Theft,"Other, Other Portable Electronic Device",No
The Nemours Foundation,FL,Healthcare Provider,1055489,Loss,Other,No
"InStep Foot Clinic, P.A.",MN,Healthcare Provider,2600,Theft,"Electronic Medical Record, Laptop",No
Futurity First Insurance Group,CT,Business Associate,3994,Theft,Other,Yes
Lahey Clinic,MA,Healthcare Provider,599,Theft,Laptop,No
Florida Hospital,FL,Healthcare Provider,12784,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Thomas Jefferson University Hospitals, Inc.",PA,Healthcare Provider,3150,Theft,Other,No
Lankenau Medical Center,PA,Healthcare Provider,500,Theft,Other,No
Mutual of Omaha Insurance Co,NE,,,,,No
"Spectrum Health Ssytems, Inc.  ",MA,Healthcare Provider,14750,Theft,Desktop Computer,No
Conway Regional Medical Center,AR,Healthcare Provider,1472,Loss,Other,No
"HITS Scanning Solutions, Inc.",MO,Business Associate,7059,Theft,Other,Yes
Stone Oak Urgent Care & Family Practice,TX,Business Associate,6672,"Loss, Theft",Desktop Computer,Yes
Indiana University School of Optometry,IN,Healthcare Provider,757,Theft,Network Server,No
"Brevard Emergency Services, P.A.",FL,Healthcare Provider,2200,Theft,Paper/Films,No
Morris Heights Health Center,NY,Healthcare Provider,927,Theft,Laptop,No
"Pitney Bowes Management Services, Inc.",CT,Business Associate,1089,Theft,Desktop Computer,Yes
Thresholds Inc.,MI,Business Associate,1100,Theft,Paper/Films,Yes
Premier Imaging,NC,Healthcare Provider,551,Unknown,Paper/Films,No
"Julie A. Kennedy, D.M.D., P.A.",FL,Healthcare Provider,2900,Theft,Network Server,No
"KCI USA, Inc.",TX,Healthcare Provider,567,Theft,"Other, Other Portable Electronic Device",No
Lebanon Internal Medicine Associates,PA,Healthcare Provider,55000,Improper Disposal,Network Server,No
St. Joseph Medical Center,MD,Healthcare Provider,5000,Theft,"Other, Paper/Films",No
UCLA Health System,CA,,2761,Theft,"Other, Other Portable Electronic Device",No
Science Applications International Corporation (SA,VA,Business Associate,4900000,Loss,Other,Yes
Logan County Emergeny Ambulance Service Authority,WV,Healthcare Provider,12563,"Loss, Theft",Laptop,No
"Amerigroup Community Care of New Mexico, Inc",NM,Health Plan,1537,Theft,Paper/Films,No
"Mid Continent Credit Services, Inc.",KS,Business Associate,8275,Theft,Other,Yes
Sutter Medical Foundation,AL,Healthcare Provider,943434,Theft,Desktop Computer,No
Medcenter One,ND,Healthcare Provider,650,Theft,Laptop,No
Dallas County Hospital District dba Parkland Health & Hospital System,TX,Healthcare Provider,2464,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper/Films",No
Sitka Wellness Center,AK,,,,,No
University of Kentucky UK HealthCare,KY,Healthcare Provider,878,Loss,Other Portable Electronic Device,No
State of Tennessee Sponsored Group Health Plan,TN,Health Plan,1770,Unauthorized Access/Disclosure,Paper/Films,No
Cleveland Clinic Florida,FL,Healthcare Provider,772,Loss,Other,No
"Jay C. Platt, DDS",IN,Healthcare Provider,10705,Theft,Other,No
Contra Costa Health Services,CA,,,,,No
Rite Aid Corporation ,PA,Healthcare Provider,2900,Other,Paper/Films,No
Blue Vantage Group,NY,Business Associate,7226,Unauthorized Access/Disclosure,Network Server,Yes
Nation Wise Machine Buyers,IL,Business Associate,2000,Improper Disposal,Paper/Films,Yes
University of Nebraska Medical Center,NE,Healthcare Provider,611,Theft,Paper/Films,No
Roberts S. Smith M.D. Inc.,GA,Healthcare Provider,17000,Theft,Laptop,No
"Paul C. Brown, MD, PS",WA,Healthcare Provider,4693,Theft,Other,No
Molina Healthcare of California,CA,Health Plan,11081,Other,Paper/Films,No
Aegis Sciences Corporation,TN,Healthcare Provider,2185,Theft,"Laptop, Other Portable Electronic Device",No
"Soundpath Health, Inc",WA,Health Plan,7581,Theft,Laptop,No
Concentra Health,TX,Healthcare Provider,870,Theft,Laptop,No
Sleep HealthCenters LLC,MA,Healthcare Provider,2988,Theft,Laptop,No
Smile Designs,FL,Healthcare Provider,1670,Theft,"Desktop Computer, Network Server",No
Alamance Caswell Local Management Entity,NC,Business Associate,50000,"Other, Unauthorized Access/Disclosure","Email, Network Server",Yes
"CardioNet, Inc",PA,Healthcare Provider,1300,Theft,Laptop,No
RightNow Technologies,MT,Business Associate,2700,Unauthorized Access/Disclosure,Other,Yes
"WageWorks, Inc.",CA,Business Associate,1700,Other,Paper/Films,Yes
Foundation Medical Partners,NH,Healthcare Provider,771,Theft,Paper/Films,No
Foundation Medical Partners,NH,,,,,No
Kansas Department on Aging,KS,Healthcare Provider,7757,Theft,Laptop,No
Delta Dental of California,CA,Health Plan,11646,Other,Paper/Films,No
Muskogee Regional Medical Center,OK,Health Plan,844,Loss,Other,No
"ACS, Affiliated Computer Services, Inc., A Xerox Company",VA,Business Associate,1444,"Other, Unauthorized Access/Disclosure",Paper/Films,Yes
"Oldendorf Medical Services, PLLC",NY,Healthcare Provider,549,Theft,Laptop,No
St.Vincent Physician Network,IN,Healthcare Provider,1423,"Theft, Unauthorized Access/Disclosure",Paper/Films,No
Flex Physical Therapy,WA,Healthcare Provider,3100,Theft,Desktop Computer,No
Metro Community Provider Network,CO,Healthcare Provider,3200,"Hacking/IT Incident, Other",Email,No
University of Miami ,FL,Healthcare Provider,1219,Theft,Other Portable Electronic Device,No
UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,6678,Other,Paper/Films,No
"Triumph, LLC",NC,Healthcare Provider,2000,Theft,Laptop,No
Accretive Health,IL,Business Associate,14000,Theft,Laptop,Yes
Loma Linda University Medical Center (LLUMC),CA,Healthcare Provider,1366,Other,Paper/Films,No
"Affiliated Computer Services, Inc.  (ACS, Inc.) A Xerox Company",NJ,Business Associate,1700,Other,Other,Yes
"Medco Health Solutions, Inc.",NJ,Healthcare Provider,1287,Theft,Paper/Films,No
Lakeview Medical Center,WI,Healthcare Provider,698,Theft,Laptop,No
"Goshen Health System, Inc.",IN,Healthcare Provider,660,Hacking/IT Incident,Other,No
St. Joseph Health System,CA,Healthcare Provider,,Unauthorized Access/Disclosure,Network Server,No
Georgetown University Hospital,DC,Healthcare Provider,1549,Unauthorized Access/Disclosure,Paper/Films,No
Motion Picture Industry Health Plans (MPI),CA,Health Plan,703,Theft,Other,No
Ochsner Health System,LA,Healthcare Provider,2088,Loss,Other Portable Electronic Device,No
Dr. Trandinh,OR,Business Associate,2300,"Theft, Unauthorized Access/Disclosure",Laptop,Yes
"CardioNet, Inc.",PA,Healthcare Provider,728,Theft,Laptop,No
"Beth Barrett Consulting, LLC",NM,Business Associate,7000,Theft,Laptop,Yes
"Catalyst Health Solutions, Inc.",MD,Business Associate,632,Unauthorized Access/Disclosure,Other,Yes
"T&P CONSULTING, INC. D/B/A QUANTUM",PR,Business Associate,7706,Theft,Laptop,Yes
Lee Miller Rehabilitation Associates,MD,Healthcare Provider,10480,Theft,Network Server,No
"Jeremaih J. Twomey, F.A.C.P., P.A.",TX,Business Associate,2559,Theft,Other,Yes
Anchorage Community Mental Health Services Inc.,AK,Healthcare Provider,2743,Unauthorized Access/Disclosure,Desktop Computer,No
Robley Rex VA Medical Center ,KY,Healthcare Provider,1182,Other,Paper/Films,No
Indiana Internal Medicine Consultants,IN,Healthcare Provider,20000,Theft,Laptop,No
"T & P Consulting, Inc. d/b/a Quantum Health Consulting",PR,Business Associate,10000,Theft,"Laptop, Other Portable Electronic Device",Yes
Quantum Health Consulting,PR,Business Associate,4645,Theft,Laptop,Yes
"T&P Consulting, INC. d/b/a Quantum Health Consulting",PR,Business Associate,27098,Theft,Laptop,Yes
Kern Medical Center ,CA,Healthcare Provider,1431,Theft,Paper/Films,No
"William F. DeLuca Jr., M.D.",NY,Healthcare Provider,577,Theft,Laptop,No
Quantum Health Consulting,PR,Business Associate,7923,Theft,Laptop,Yes
Advanced Clinical Research Institute,CA,Health Plan,875,Theft,Paper/Films,No
"T&P Consulting, INC DBA Quantum HC",PR,Business Associate,7606,Theft,"Laptop, Other Portable Electronic Device",Yes
Georgia Health Sciences University,GA,Healthcare Provider,513,Theft,Laptop,No
"Baylor Heart and Vascular Center, LLP",TX,Healthcare Provider,1972,Theft,Other Portable Electronic Device,No
Chicago Muscoskeletal Institute,IL,Healthcare Provider,750,Unauthorized Access/Disclosure,Network Server,No
"Caremark PCS Health, L.L.C. (formerly known as Caremark PCS Health, L.P.)",IL,Business Associate,3482,Other,Paper/Films,Yes
Duke University Health System,NC,Healthcare Provider,1370,Unauthorized Access/Disclosure,Other,No
St. Joseph's Medical Center,CA,Healthcare Provider,712,Theft,Paper/Films,No
CenterLight Healthcare,NY,Health Plan,642,Unauthorized Access/Disclosure,Email,No
Lake Granbury Medicl Ceter,TX,Healthcare Provider,502,Theft,Paper/Films,No
County of Wayne Department of Personnel/Human Resources Benefits Administration Division,MI,Health Plan,1229,Unauthorized Access/Disclosure,Email,No
St. Elizabeth's Medical Center,MA,Healthcare Provider,6831,Loss,Paper/Films,No
The Neighborhood Christian Clinic,AZ,Healthcare Provider,9565,Loss,Other Portable Electronic Device,No
"AccentCare Home Health of California, Inc. Medicare # 057564    CA state License # 080000226",CA,Healthcare Provider,1000,Unauthorized Access/Disclosure,Email,No
Affinity Health Plan,NY,,,,,No
HealthLOGIX,MI,Business Associate,555,Unauthorized Access/Disclosure,Paper/Films,Yes
David Charles Rish,CA,Business Associate,2000,Theft,Other,Yes
Utah Department of Technology Services,UT,Business Associate,780000,Hacking/IT Incident,Network Server,Yes
IU Medical Group,IN,Healthcare Provider,1000,Improper Disposal,Paper/Films,No
Rhinebeck Health Center/Center for Progressive Medicine,NY,Healthcare Provider,6745,Theft,"Desktop Computer, Network Server",No
Memorial Healthcare System,FL,Health Plan,9497,Other,Other,No
"Roy E. Gondo, M.D.",WA,Healthcare Provider,2100,Theft,"Desktop Computer, Electronic Medical Record",No
"DRD Management, Inc. D/B/A DRD Knoxville Medical Clinic - Central",TX,Healthcare Provider,1000,Improper Disposal,Paper/Films,No
Emory Healthcare,GA,Healthcare Provider,315000,"Other, Unknown",Other,No
Desert AIDS Project,CA,Healthcare Provider,4400,Theft,Desktop Computer,No
University of Arkansas for Medical Sciences,AR,Healthcare Provider,7121,Unauthorized Access/Disclosure,Other,No
"TLC Dental Dania, LLC",FL,Healthcare Provider,750,Theft,Paper/Films,No
South Carolina Department of Health and Human Services,SC,Health Plan,228435,Unauthorized Access/Disclosure,Email,No
Oregon Health Authority,OR,Healthcare Provider,550,Theft,Paper/Films,No
SHIELDS For Families ,CA,Healthcare Provider,961,Theft,Network Server,No
Thomas Jefferson University Hospitals,PA,,,,,No
"Safe Ride Services, Inc",AZ,Healthcare Provider,42000,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No
IntraCare North Hospital,TX,Healthcare Provider,750,Theft,Paper/Films,No
"Oakland Vision Services, PC",MI,Healthcare Provider,3000,Hacking/IT Incident,Network Server,No
"Stephen Haggard, DPM Podiatry ",WA,Healthcare Provider,1597,Theft,Network Server,No
Baptist Health System,AL,Healthcare Provider,1655,Improper Disposal,Paper/Films,No
University of Houston for UH College of Optometry,TX,Healthcare Provider,7000,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No
Rite Aid Store 1343,WV,Healthcare Provider,2905,Theft,Paper/Films,No
Iowa Department of Human Services,IA,Health Plan,3000,Improper Disposal,Paper/Films,No
Hogan Services Inc. Health Care Premium Plan,MO,Health Plan,1134,Unauthorized Access/Disclosure,Email,No
Family Health Services Minnesota PA,MN,Healthcare Provider,4000,Theft,Laptop,No
St. Mary Medical Center,CA,Healthcare Provider,3900,Loss,Other Portable Electronic Device,No
Our Lady of the Lake Regional Medical Center,LA,Healthcare Provider,17000,"Loss, Theft",Laptop,No
UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,19100,Unauthorized Access/Disclosure,Other,No
West Dermatology,CA,Healthcare Provider,1900,Theft,Other,No
Duke University Health System,NC,Healthcare Provider,591,Unauthorized Access/Disclosure,Other,No
"Luz Colon, DPM  Podiatry ",FL,Healthcare Provider,1137,"Loss, Theft",Laptop,No
Ameritas Life Insurance Corp. ,NE,Health Plan,3000,Theft,Laptop,No
Children's Hospital Boston,MA,Healthcare Provider,2159,Theft,Laptop,No
"Data Image, Inc.",OH,Business Associate,15000,Unauthorized Access/Disclosure,Other,Yes
Physician's Automated Laboratory,CA,Healthcare Provider,745,Theft,Paper/Films,No
"Phoebe Putney Memorial Hospital, Inc. ",GA,Healthcare Provider,12937,Theft,"Electronic Medical Record, Paper/Films",No
Independence Physical Therapy,CT,Healthcare Provider,925,Theft,Desktop Computer,No
Titus Regional Medical Center,TX,Healthcare Provider,5700,Loss,Laptop,No
Titus Regional Medical Center,TX,Healthcare Provider,500,Theft,Other,No
Lutheran Community Services Northwest,WA,Healthcare Provider,756,Theft,"Desktop Computer, Other Portable Electronic Device",No
"Volunteer State Health Plan, Inc. ",TN,Health Plan,1102,Loss,Paper/Films,No
Charlie Norwood VA Medical Center,GA,Healthcare Provider,824,Loss,Other Portable Electronic Device,No
PrevMED,MD,Business Associate,1444,Theft,Laptop,Yes
"Metcare of Florida, Inc.",FL,Healthcare Provider,2557,Theft,Other Portable Electronic Device,No
"Robert Witham, MD, FACP",OR,Healthcare Provider,11136,Theft,Desktop Computer,No
Memorial Sloan-Kettering Cancer Center,NY,Healthcare Provider,568,Theft,"Email, Other",No
"Gessler Clinic, P.A.",FL,Healthcare Provider,1409,Theft,Paper/Films,No
University of Kentucky HealthCare,KY,Healthcare Provider,4490,Theft,Laptop,No
Wolf & Yun,KY,Healthcare Provider,824,Theft,Laptop,No
Karen Kietzman,MT,Healthcare Provider,708,Theft,"Laptop, Other Portable Electronic Device",No
"Bruce G. Peller, DMD, PA",NC,Healthcare Provider,9953,Unauthorized Access/Disclosure,Desktop Computer,No
"Sharon L. Rogers, Ph.D., ABPP",TX,Healthcare Provider,585,Theft,Laptop,No
Health Texas Provider Network - Cardiovascular Consultants of North Texas,TX,Healthcare Provider,2462,Unauthorized Access/Disclosure,Electronic Medical Record,No
SwedishAmerican Health System,IL,Healthcare Provider,1500,Theft,Paper/Films,No
"Patterson Dental, Inc.",MN,Business Associate,2533,"Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,Yes
Visiting Nurse Services of Iowa,IA,Healthcare Provider,1298,Theft,Paper/Films,No
"Hamner Square Dental, Privacy Manager Breach",CA,,,,,No
Molalla Family Dental,OR,Healthcare Provider,4354,"Hacking/IT Incident, Other, Unauthorized Access/Disclosure",Network Server,No
Pamlico Medical Equipment LLC,NC,Healthcare Provider,2917,Loss,Other Portable Electronic Device,No
Beth Israel Deaconess Medical Center,MA,Healthcare Provider,3900,Theft,Laptop,No
NYU School of Medicine Faculty Group Practice,NY,Healthcare Provider,8488,Theft,Desktop Computer,No
"The Surgeons of Lake County, LLC",IL,Healthcare Provider,7067,Other,Network Server,No
Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg,IN,Healthcare Provider,1504,Theft,Other,No
Jeffrey Paul Edelstein M.D.,AZ,Healthcare Provider,4800,Theft,Network Server,No
Northwestern Memorial Hospital,IL,Healthcare Provider,4211,Theft,"Laptop, Other Portable Electronic Device",No
Walgreen Co.,IL,Healthcare Provider,1240,Theft,Paper/Films,No
EMC,CT,Business Associate,7461,Theft,Laptop,Yes
VNA Health Care Hartford Hospital,CT,,,,,No
Oregon Health & Science University,OR,Healthcare Provider,702,Theft,Other,No
"Stanford Hospital & Clinics and School of Medicine, Privacy Manager Breach",CA,Healthcare Provider,2300,Theft,Desktop Computer,No
Harris County Hospital District,TX,Healthcare Provider,2875,Theft,"Electronic Medical Record, Paper/Films",No
"Siemens Medical Solutions, USA",PA,Business Associate,66601,Theft,Laptop,Yes
TEMPLE COMMUNITY HOSPITAL,CA,Healthcare Provider,603,Theft,Desktop Computer,No
"Heartland Pathology Associates, P.A.",FL,Healthcare Provider,1175,Theft,Other Portable Electronic Device,No
"Apria Healthcare, Inc., Privacy Manager Breach",CA,Healthcare Provider,,Theft,Laptop,No
Memorial Healthcare System,FL,Healthcare Provider,105646,Theft,Electronic Medical Record,No
"Liberty Resources, Inc.",PA,Healthcare Provider,3183,Theft,Laptop,No
The University of Texas MD Anderson Cancer Center,TX,Healthcare Provider,2264,Loss,Other Portable Electronic Device,No
Central States Southeast and Siouthwest Areas Health & Welfare Fund,IL,Health Plan,754,"Other, Unauthorized Access/Disclosure",Paper/Films,No
LANA MEDICAL CARE,FL,Healthcare Provider,500,Theft,Laptop,No
"Cancer Care Group, P.C.",IN,Healthcare Provider,55000,Theft,Other Portable Electronic Device,No
Tricounty Behavioral Health Clinic,GA,Healthcare Provider,4000,Theft,Laptop,No
Sierra Plastic Surgery,NV,Healthcare Provider,800,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No
"Charlotte Clark-Neitzel, MD",WA,Healthcare Provider,942,Theft,Laptop,No
University of Miami,FL,Healthcare Provider,64846,"Other, Unauthorized Access/Disclosure",Paper/Films,No
University of New Mexico Health Sciences Center,NM,Healthcare Provider,2365,Hacking/IT Incident,Network Server,No
"Valley Plastic Surgery, P.C.",VA,Healthcare Provider,4873,Theft,Other Portable Electronic Device,No
"Ecco Health, LLC",NV,Business Associate,5713,Loss,Other Portable Electronic Device,Yes
"BHcare, Inc",CT,Healthcare Provider,5827,Theft,"Laptop, Other Portable Electronic Device",No
The Feinstein Institute for Medical Reserch,NY,Healthcare Provider,13000,Theft,Laptop,No
Cox Health,MO,,,,,No
"St. Therese Medical Group, Inc",CA,Healthcare Provider,3031,Theft,Desktop Computer,No
"Cabinet for Health and Family Services, Department for Community Based Services",KY,Healthcare Provider,2500,Unauthorized Access/Disclosure,Email,No
"PST Services, Inc",GA,Business Associate,13074,Improper Disposal,Paper/Films,Yes
"Apria Healthcare, Inc.",CA,Healthcare Provider,65700,Theft,Laptop,No
"Alexander J. Tikhtman, M.D.",KY,Healthcare Provider,2376,Theft,Other Portable Electronic Device,No
Gulf Coast Health Care Services Inc,FL,Healthcare Provider,13000,"Hacking/IT Incident, Theft, Unauthorized Access/Disclosure",Network Server,No
"Blount Memorial Hospital, Inc",TN,Healthcare Provider,27799,Theft,Laptop,No
"Alere Home Monitoring, Inc",CA,Healthcare Provider,116506,Theft,Laptop,No
"Coastal home Respiratory, LLP",GA,Healthcare Provider,3440,Theft,Other,No
"Philip P Corneliuson, DDS, INC.",CA,Healthcare Provider,980,Theft,Desktop Computer,No
L.A. Care Health Plan,CA,Health Plan,18000,Other,Paper/Films,No
"First Step Counseling, Inc.",NJ,Healthcare Provider,638,Theft,Paper/Films,No
"Logan Community Resources, Inc.",IN,Healthcare Provider,2900,Hacking/IT Incident,Network Server,No
Health Care Service Corporation,IL,Health Plan,,Theft,Paper/Films,No
SwedishAmerican Health System,IL,Healthcare Provider,1500,Theft,Paper/Films,No
CVS Caremark,RI,Healthcare Provider,955,Theft,Paper/Films,No
Memorial Hospital,OH,Healthcare Provider,500,Improper Disposal,Paper/Films,No
"Waipahu Aloha Clubhouse, Privacy Manager Breach",HI,Healthcare Provider,,Unauthorized Access/Disclosure,Desktop Computer,No
QUANTERION SOLUTIONS INC,NY,Business Associate,1017,Theft,Network Server,Yes
"University of Illinois, College of Nursing",IL,Business Associate,508,Theft,Paper/Films,Yes
Henry Ford Health System,MI,Healthcare Provider,2777,Loss,"Other, Other Portable Electronic Device",No
Union County Board of Developmental Disabilities,OH,Health Plan,,Theft,Laptop,No
Indiana University,IN,,,,,No
Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center,FL,Healthcare Provider,2560,Theft,Electronic Medical Record,No
"WYATT DENTAL GROUP, LLC",LA,Healthcare Provider,10271,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,No
Women and Infant's Hospital ,RI,Healthcare Provider,14004,Loss,Other Portable Electronic Device,No
Memorial Health System,CO,Healthcare Provider,6262,Loss,Paper/Films,No
Maryville Academy,IL,Healthcare Provider,3897,Loss,Other Portable Electronic Device,No
CHRISTUS St. John Hospital,TX,Healthcare Provider,5748,Loss,Other Portable Electronic Device,No
L.A. Care Health Plan,CA,Health Plan,18000,Other,Other,No
"Hawaii State Department of Health, Adult Mental Health Division",HI,Healthcare Provider,674,Hacking/IT Incident,Desktop Computer,No
"Original Medicine Acupuncture & Wellness, LLC",NM,Healthcare Provider,,Theft,Laptop,No
"Soundental Associates, PC",CT,Healthcare Provider,14511,Theft,Other Portable Electronic Device,No
"Original Medicine Acupuncture & Wellness, LLC",NM,Healthcare Provider,540,Theft,Laptop,No
Digital Archive Management,TX,Business Associate,501,"Improper Disposal, Theft","Network Server, Paper/Films",Yes
Brigham and Women's Hospital,MA,Healthcare Provider,615,Theft,Desktop Computer,No
"Advantage Health Solutions, Inc.",IN,Business Associate,2575,Other,Other,Yes
"James M. McGee, D.M.D., P.C.",GA,Healthcare Provider,1306,Theft,Paper/Films,No
Robbins Eye Center PC,CT,Healthcare Provider,1749,Theft,Desktop Computer,No
"Advanced Data Processing, Inc.",FL,Healthcare Clearing House,10000,Theft,Desktop Computer,No
Cuyahoga County Board of Developmental Disabilities,OH,Healthcare Provider,613,Theft,Laptop,No
Blue Cross Blue Shield,IL,Business Associate,500,Unauthorized Access/Disclosure,Network Server,Yes
Vidant Pungo Hospital,NC,Healthcare Provider,1100,Improper Disposal,Paper/Films,No
County of San Bernardino Department of Public Heatlh,CA,Healthcare Provider,1370,Unauthorized Access/Disclosure,Paper/Films,No
"City of Berkeley, Privacy Manager Breach",CA,,,,,No
