Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information
"Dr. Victoria Falcone, Falcone Cosmetic Services, PC, Falcone Cosmetic Services of NJ, PC",PA,"SpaMed Solutions, LLC, Edward McMenamin President,",3000,"Theft, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Network Server, E-mail, Other Portable Electronic Device, Other, Electronic Medical Record, Paper"
"HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER",IL,,2000,Theft,"Desktop Computer, Network Server"
Stanford Hospital & Clinics,CA,"Multi-Speciality Collection Services, LLC",19651,Unauthorized Access/Disclosure,Other
"Muir Orthopaedic Specialists, A Medical Group Inc.",CA,,1800,Theft,Paper
NEA Baptist Clinic,AR,,3116,Hacking/IT Incident,Network Server
Jonathan Noel MD,IN,,2059,Theft,"Other Portable Electronic Device, Other"
Texas Health and Human Services Commission,TX,,1696,Theft,Laptop
University of Wisconsin Oshkosh,WI,Living Healthy Community Clinic,3000,Hacking/IT Incident,Desktop Computer
Centro de Ortodoncia Inc.,PR,,2000,Theft,Paper
"John T. Melvin, M.D.& Associates",TX,,2541,Theft,Paper
"Diversified Resources, Inc.",GA,,863,Theft,Laptop
VA Gulf Coast Veterans Health Care System,MS,,1797,Theft,Paper
Freda J Bowman  MD PA,TX,,1300,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server
"Bonney Lake Medical Center and Mythili R. Ramachandran, MD",WA,,2367,Theft,"Laptop, Desktop Computer"
United States Steel Corporation Plan for Active Employee Insurance Benefits and the United States Steel Corporation Plan for Retiree Insurance Benefits,PA,"Benefits Administration Services, Inc.",4000,Loss,"Other Portable Electronic Device, Other"
VA Illiana Health Care System,IL,,518,Loss,Paper
Health Texas Provider Network,TX,,1259,Theft,Laptop
Blue Cross of Northeastern Pennsylvania,PA,"AllOne Health Management Solutions, Inc.",507,"Theft, Unauthorized Access/Disclosure","Laptop, Paper"
NYU Hospital for Joint Diseases Inventory Management Department,NY,,2600,Theft,Paper
WAYNE HIGHLANDS SCHOOL DISTRICT,PA,FIRST PRIORITY LIFE INSURANCE COMPANY,579,"Theft, Unauthorized Access/Disclosure",Paper
"Summit Medical Group, PLLC",TN,,731,Theft,Paper
MAPFRE Life,PR,,2209,Theft,Other
American Continental Insurance Company,TN,Futurity First Insurance Group,690,Theft,"Other Portable Electronic Device, Other"
United of Omaha Life Insurance Company,NE,Futurity First Insurance Group,1631,Loss,"Other Portable Electronic Device, Other"
Mutual of Omaha Insurance Company,NE,Futurity First Insurance Group,705,Theft,"Other Portable Electronic Device, Other"
Henry Ford Health System,MI,,520,Theft,Desktop Computer
Indiana University,IN,,3266,Theft,Laptop
"Adult & Pediatric Dermatology, PC",MA,,2200,Theft,"Other Portable Electronic Device, Other"
The Nemours Foundation,FL,,1055489,Loss,Other
"California Industrial Medicine, Inc.",CA,"Thomas J O'Laughlin, MD",700,"Theft, Unauthorized Access/Disclosure",Paper
"InStep Foot Clinic, P.A.",MN,,2600,Theft,"Laptop, Electronic Medical Record"
North Memorial,MN,"Accretive Health, Inc",6697,Theft,Laptop
"Lahey Clinic Hospital, Inc.",MA,,599,Theft,Laptop
UnitedHealth Group health plan single affiliated covered entity,MN,Futurity First Insurance Group,3994,Theft,Other
Good Samaritan Hospital,MD,,1500,Theft,Paper
"Amerigroup Community Care of New Mexico, Inc",NM,,1537,Theft,Paper
Florida Hospital,FL,,12784,Unauthorized Access/Disclosure,Electronic Medical Record
"Thomas Jefferson University Hospitals, Inc.",PA,,3150,Theft,Other
Lankenau Medical Center,PA,,500,Theft,Other
"Spectrum Health Ssytems, Inc.  ",MA,,14750,Theft,Desktop Computer
Conway Regional Medical Center,AR,,1472,Loss,Other
Concordia Plan Services,MO,"HITS Scanning Solutions, Inc.",7059,Loss,Other
Stone Oak Urgent Care & Family Practice,TX,Stone Oak Urgent Care & Family Practice,6672,"Theft, Loss",Desktop Computer
Indiana University School of Optometry,IN,,757,Unauthorized Access/Disclosure,Network Server
"Brevard Emergency Services, P.A.",FL,,2200,Theft,Paper
Georgetown University Hospital,DC,,1526,Loss,"Other Portable Electronic Device, Other"
Morris Heights Health Center,NY,,927,Theft,Laptop
network180,MI,Thresholds Inc.,1100,Theft,Paper
Premier Imaging,NC,,551,Unknown,Paper
"The Good Samaritan Hospital of Cincinnati, Ohio",OH,"Pitney Bowes Management Services, Inc.",1089,Theft,Desktop Computer
"Bethesda Hospital, Inc.",OH,"Pitney Bowes Management Services, Inc.",946,Theft,Desktop Computer
"Julie A. Kennedy, D.M.D., P.A.",FL,,2900,Theft,Network Server
"KCI USA, Inc.",TX,,567,Theft,"Other Portable Electronic Device, Other"
Lebanon Internal Medicine Associates,PA,,55000,Improper Disposal,Network Server
St. Joseph Medical Center,MD,,5000,Theft,"Other, Paper"
TRICARE Management Activity (TMA),VA,Science Applications International Corporation (SA,4900000,Loss,Other
UCLA Health System,CA,,2761,Theft,"Other Portable Electronic Device, Other"
Logan County Emergeny Ambulance Service Authority,WV,,12563,"Theft, Loss",Laptop
Lawrence Memorial Hospital,KS,"Mid Continent Credit Services, Inc.",8275,"Unauthorized Access/Disclosure, Other",Other
Sutter Medical Foundation,AL,,943434,Theft,Desktop Computer
Medcenter One,ND,,650,Theft,Laptop
Dallas County Hospital District dba Parkland Health & Hospital System,TX,,2464,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper"
University of Kentucky UK HealthCare,KY,,878,Loss,Other Portable Electronic Device
State of Tennessee Sponsored Group Health Plan,TN,,1770,Unauthorized Access/Disclosure,Paper
Cleveland Clinic Florida,FL,,772,Loss,Other
"Jay C. Platt, DDS",IN,,10705,Theft,Other
Rite Aid Corporation ,PA,,2900,Other,Paper
Advanced Occupational Medicine Specialists,IL,Blue Vantage Group,7226,Unauthorized Access/Disclosure,Network Server
Open MRI of Chicago,IL,Nation Wise Machine Buyers,2000,Improper Disposal,Paper
University of Nebraska Medical Center,NE,,611,Theft,Paper
Roberts S. Smith M.D. Inc.,GA,,17000,Theft,Laptop
"Paul C. Brown, MD, PS",WA,,4693,Theft,Other
Molina Healthcare of California,CA,,11081,Other,Paper
Aegis Sciences Corporation,TN,,2185,Theft,"Laptop, Other Portable Electronic Device"
"Soundpath Health, Inc",WA,,7581,Theft,Laptop
Concentra Health,TX,,870,Theft,Laptop
Sleep HealthCenters LLC,MA,,2988,Theft,Laptop
Smile Designs,FL,,1670,Theft,"Desktop Computer, Network Server"
PBH,NC,Alamance Caswell Local Management Entity,50000,"Unauthorized Access/Disclosure, Other","Network Server, E-mail"
"CardioNet, Inc",PA,,1300,Theft,Laptop
"MDwise, Inc.",IN,RightNow Technologies,2700,Unauthorized Access/Disclosure,Other
Ford Motor Company,MI,"WageWorks, Inc.",1700,Other,Paper
Foundation Medical Partners,NH,,771,Theft,Paper
Kansas Department on Aging,KS,,7757,Theft,Laptop
Delta Dental of California,CA,,11646,Other,Paper
Muskogee Regional Medical Center,OK,,844,Loss,Other
Department of Medical Assistance Services,VA,"ACS, Affiliated Computer Services, Inc., A Xerox Company",1444,"Unauthorized Access/Disclosure, Other",Paper
"Oldendorf Medical Services, PLLC",NY,,549,Theft,Laptop
St.Vincent Physician Network,IN,,1423,"Theft, Unauthorized Access/Disclosure",Paper
Flex Physical Therapy,WA,,3100,Theft,Desktop Computer
Metro Community Provider Network,CO,,3200,"Hacking/IT Incident, Other",E-mail
University of Miami ,FL,,1219,Theft,Other Portable Electronic Device
UnitedHealth Group health plan single affiliated covered entity,MN,,6678,Other,Paper
"Triumph, LLC",NC,,2000,Theft,Laptop
Fairview Health Services,MN,Accretive Health,14000,Theft,Laptop
Loma Linda University Medical Center (LLUMC),CA,,1366,Other,Paper
Ford Motor Company Salaried Health Reimbursement Arrangement (HRA) Plan,MI,"Affiliated Computer Services, Inc.  (ACS, Inc.) A Xerox Company",1700,Other,Other
"Medco Health Solutions, Inc.",NJ,,1287,Theft,Paper
Lakeview Medical Center,WI,,698,Theft,Laptop
"Goshen Health System, Inc.",IN,,660,Hacking/IT Incident,Other
Georgetown University Hospital,DC,,1549,Unauthorized Access/Disclosure,Paper
Motion Picture Industry Health Plans (MPI),CA,,703,Other,Other
Ochsner Health System,LA,,2088,Loss,Other Portable Electronic Device
Applegate Valley Family Medicine,OR,Dr. Trandinh,2300,"Theft, Unauthorized Access/Disclosure",Laptop
"CardioNet, Inc.",PA,,728,Theft,Laptop
Presbyterian Healthcare Services,NM,"Beth Barrett Consulting, LLC",7000,Theft,Laptop
"Alliant Health Plans, Inc.",GA,"Catalyst Health Solutions, Inc.",632,Unauthorized Access/Disclosure,Other
"FIRST MEDICAL CENTER, INC.",PR,"T&P CONSULTING, INC. D/B/A QUANTUM",7706,Theft,Laptop
Lee Miller Rehabilitation Associates,MD,,10480,Theft,Network Server
"Jeremaih J. Twomey, F.A.C.P., P.A.",TX,"Jeremaih J. Twomey, F.A.C.P., P.A.",2559,Theft,Other
Anchorage Community Mental Health Services Inc.,AK,,2743,Unauthorized Access/Disclosure,Desktop Computer
Robley Rex VA Medical Center ,KY,,1182,Other,Paper
Indiana Internal Medicine Consultants,IN,,20000,Theft,Laptop
Policlinica La Familia IPA 343,PR,"T & P Consulting, Inc. d/b/a Quantum Health Consulting",5994,Theft,Laptop
Servicios Medicos Integrados de Fajardo,PR,"T & P Consulting, Inc. d/b/a Quantum Health Consulting",10000,Theft,"Laptop, Other Portable Electronic Device"
Proveedores Aliados por tu SAlud,PR,Quantum Health Consulting,4645,Theft,Laptop
"Centro de Servicios de Cuidados Dirigidos, Inc. d/b/a Metro Salud grupo Profesional",PR,"T&P Consulting, INC. d/b/a Quantum Health Consulting",27098,Theft,Laptop
Kern Medical Center ,CA,,1431,Theft,Paper
"William F. DeLuca Jr., M.D.",NY,,577,Theft,Laptop
Grupo Medico IPA -341,PR,Quantum Health Consulting,7923,Theft,Laptop
Advanced Clinical Research Institute,CA,,875,Theft,Paper
Access Medical Group -IPA 344,PR,"T&P Consulting, INC DBA Quantum HC",7606,Theft,"Laptop, Other Portable Electronic Device"
Georgia Health Sciences University,GA,,513,Theft,Laptop
"Baylor Heart and Vascular Center, LLP",TX,,1972,Theft,Other Portable Electronic Device
Chicago Musculoskeletal Institute/Metro Orthopedics,IL,,750,Other,Network Server
"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company",MA,"Caremark PCS Health, L.L.C. (formerly known as Caremark PCS Health, L.P.)",3482,Other,Paper
Duke University Health System,NC,,1370,Unauthorized Access/Disclosure,Other
St. Joseph's Medical Center,CA,,712,Theft,Paper
UnitedHealth Group health plan single affiliated covered entity,MN,,3537,Unauthorized Access/Disclosure,Other
CenterLight Healthcare,NY,,642,Unauthorized Access/Disclosure,E-mail
Lake Granbury Medical Center,TX,,502,Theft,Paper
County of Wayne Department of Personnel/Human Resources Benefits Administration Division,MI,,1229,Unauthorized Access/Disclosure,E-mail
St. Elizabeth's Medical Center,MA,,6831,Loss,Paper
The Neighborhood Christian Clinic,AZ,,9565,Loss,Other Portable Electronic Device
"AccentCare Home Health of California, Inc. Medicare # 057564    CA state License # 080000226",CA,,1000,Unauthorized Access/Disclosure,E-mail
Seton Health Plan,TX,HealthLOGIX,555,Unauthorized Access/Disclosure,Paper
awklein a med corp,CA,David Charles Rish,2000,Theft,Other
Utah Department of Health,UT,Utah Department of Technology Services,780000,Hacking/IT Incident,Network Server
IU Medical Group,IN,,1000,Improper Disposal,Paper
Rhinebeck Health Center/Center for Progressive Medicine,NY,,6745,Theft,"Desktop Computer, Network Server"
Memorial Healthcare System,FL,,9497,Other,Other
"Roy E. Gondo, M.D.",WA,,2100,Theft,"Desktop Computer, Electronic Medical Record"
"DRD Management, Inc. D/B/A DRD Knoxville Medical Clinic - Central",TX,,1000,Improper Disposal,Paper
Emory Healthcare,GA,,315000,"Unknown, Other",Other
"Rex Smith, DPM -Rex Smith Podiatry ",OR,,20915,Theft,Desktop Computer
Desert AIDS Project,CA,,4400,Theft,Desktop Computer
University of Arkansas for Medical Sciences,AR,,7121,Unauthorized Access/Disclosure,Other
"TLC DENTAL DANIA, LLC",FL,,750,Theft,Paper
South Carolina Department of Health and Human Services,SC,,228435,Unauthorized Access/Disclosure,E-mail
Oregon Health Authority,OR,,550,Theft,Paper
SHIELDS For Families ,CA,,961,Theft,Network Server
"Safe Ride Services, Inc",AZ,,42000,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server
IntraCare North Hospital,TX,,750,Theft,Paper
"Oakland Vision Services, PC",MI,,3000,Hacking/IT Incident,Network Server
"Stephen Haggard, DPM Podiatry ",WA,,1597,Theft,Network Server
Baptist Health System,AL,,1655,Improper Disposal,Paper
University of Houston for UH College of Optometry,TX,,7000,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server
Rite Aid Store 1343,WV,,2905,Theft,Paper
Iowa Department of Human Services,IA,,3000,Improper Disposal,Paper
Hogan Services Inc. Health Care Premium Plan,MO,,1134,Unauthorized Access/Disclosure,E-mail
"Family HealthServices Minnesota, P.A.",MN,,4000,Theft,Laptop
St. Mary Medical Center,CA,,3900,Loss,Other Portable Electronic Device
Fairview Health Services,MN,Accretive Health,623,Theft,Laptop
Our Lady of the Lake Regional Medical Center,LA,,17000,"Theft, Loss",Laptop
UnitedHealth Group health plan single affiliated covered entity,MN,,19100,Unauthorized Access/Disclosure,Other
West Dermatology,CA,,1900,Theft,Other
Duke University Health System,NC,,591,Unauthorized Access/Disclosure,Other
"Luz Colon, DPM  Podiatry ",FL,,1137,"Theft, Loss",Laptop
Ameritas Life Insurance Corp. ,NE,,3000,Theft,Laptop
Children's Hospital Boston,MA,,2159,Theft,Laptop
Upper Valley Medical Center,OH,"Data Image, Inc.",15000,Unauthorized Access/Disclosure,Other
Physician's Automated Laboratory,CA,,745,Theft,Paper
"Phoebe Putney Memorial Hospital, Inc. ",GA,,12937,Theft,"Electronic Medical Record, Paper"
Independence Physical Therapy,CT,,925,Theft,Desktop Computer
Titus Regional Medical Center,TX,,5700,"Loss, Unknown",Laptop
Titus Regional Medical Center,TX,,500,Theft,Other
Lutheran Community Services Northwest,WA,,756,Theft,"Desktop Computer, Other Portable Electronic Device"
"Volunteer State Health Plan, Inc. ",TN,,1102,Loss,Paper
Charlie Norwood VA Medical Center,GA,,824,Loss,Other Portable Electronic Device
"Mid America Health, Inc.",IN,PrevMED,1444,Theft,Laptop
"Metcare of Florida, Inc.",FL,,2557,Theft,Other Portable Electronic Device
"Robert Witham, MD, FACP",OR,,11136,Theft,Desktop Computer
Memorial Sloan-Kettering Cancer Center,NY,,568,Theft,"E-mail, Other"
"Gessler Clinic, P.A.",FL,,1409,Theft,Paper
University of Kentucky HealthCare,KY,,4490,Theft,Laptop
Wolf & Yun,KY,,824,Theft,Laptop
Karen Kietzman,MT,,708,Theft,"Laptop, Other Portable Electronic Device"
"Bruce G. Peller, DMD, PA",NC,,9953,Unauthorized Access/Disclosure,Desktop Computer
"Sharon L. Rogers, Ph.D., ABPP",TX,,585,Theft,Laptop
Health Texas Provider Network - Cardiovascular Consultants of North Texas,TX,,2462,Unauthorized Access/Disclosure,Electronic Medical Record
SwedishAmerican Health System,IL,,1500,Theft,Paper
River Arch Dental,CA,"Patterson Dental, Inc.",2533,"Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device
Hamner Square Dental ,CA,"Patterson Dental, Inc",1112,"Theft, Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device
Visiting Nurse Services of Iowa,IA,,1298,Theft,Paper
Molalla Family Dental,OR,,4354,"Unauthorized Access/Disclosure, Hacking/IT Incident, Other",Network Server
Pamlico Medical Equipment LLC,NC,,2917,Loss,Other Portable Electronic Device
Beth Israel Deaconess Medical Center,MA,,3900,Theft,Laptop
NYU School of Medicine Faculty Group Practice,NY,,8488,Theft,Desktop Computer
"Adult & Child Center, Inc.",IN,"Choices, Inc.",550,Hacking/IT Incident,Other
"The Surgeons of Lake County, LLC",IL,,7067,Other,Network Server
Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg,IN,,1504,Theft,Other
Jeffrey Paul Edelstein M.D.,AZ,,4800,Theft,Network Server
Northwestern Memorial Hospital,IL,,4211,Theft,"Laptop, Other Portable Electronic Device"
Walgreen Co.,IL,,1240,Theft,Paper
VNA HealthCare,CT,EMC,7461,Theft,Laptop
Hartford Hospital,CT,EMC,2097,Theft,Laptop
Diversified Support Services,IN,"Choices, Inc.",505,Hacking/IT Incident,Other
Oregon Health & Science University,OR,,702,Theft,Other
Stanford Hospital & Clinics and School of Medicine,CA,,2300,Theft,Desktop Computer
Midtown Mental Health Center,IN,"CHOICES, Inc",890,Hacking/IT Incident,Other
Harris County Hospital District,TX,,2875,Theft,"Electronic Medical Record, Paper"
Howard University Hospital,DC,"Siemens Medical Solutions, USA",66601,Theft,Laptop
TEMPLE COMMUNITY HOSPITAL,CA,,603,Theft,Desktop Computer
Memorial Healthcare System,FL,,105646,Theft,Electronic Medical Record
"Liberty Resources, Inc.",PA,,3183,Theft,Laptop
The University of Texas MD Anderson Cancer Center,TX,,2264,Loss,Other Portable Electronic Device
Central States Southeast and Siouthwest Areas Health & Welfare Fund,IL,,754,"Unauthorized Access/Disclosure, Other",Paper
LANA MEDICAL CARE,FL,,500,Theft,Laptop
"Cancer Care Group, P.C.",IN,,55000,Theft,Other Portable Electronic Device
Tricounty Behavioral Health Clinic,GA,,4000,Theft,Laptop
Sierra Plastic Surgery,NV,,800,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server
"Charlotte Clark-Neitzel, MD",WA,,942,Theft,Laptop
University of Miami,FL,,64846,"Unauthorized Access/Disclosure, Other",Paper
University of New Mexico Health Sciences Center,NM,,2365,Hacking/IT Incident,Network Server
"Valley Plastic Surgery, P.C.",VA,,4873,Theft,Other Portable Electronic Device
Colon & Digestive Health Specialists,AR,"Ecco Health, LLC",5713,Loss,Other Portable Electronic Device
"BHcare, Inc",CT,,5827,Theft,"Laptop, Other Portable Electronic Device"
The Feinstein Institute for Medical Research,NY,,13000,Theft,Laptop
"St. Therese Medical Group, Inc",CA,,3031,Theft,Desktop Computer
"Cabinet for Health and Family Services, Department for Community Based Services (Protection and Permanency)",KY,,2500,Unauthorized Access/Disclosure,E-mail
"Litton & Giddings Radiological Associates, P.C.",MO,"PST Services, Inc",13074,Improper Disposal,Paper
"Apria Healthcare, Inc.",CA,,65700,Theft,Laptop
"Alexander J. Tikhtman, M.D.",KY,,2376,Loss,Other Portable Electronic Device
Gulf Coast Health Care Services Inc,FL,,13000,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server
"Blount Memorial Hospital, Inc",TN,,27799,Theft,Laptop
"Alere Home Monitoring, Inc",CA,,116506,Theft,Laptop
"Coastal home Respiratory, LLP",GA,,3440,Theft,Other
" Philip P Corneliuson, DDS, INC.",CA,,980,Theft,Desktop Computer
"First Step Counseling, Inc.",NJ,,638,Theft,Paper
"Logan Community Resources, Inc.",IN,,2900,Hacking/IT Incident,Network Server
"David DiGiallorenzo, D.M.D.",PA,,2600,"Unauthorized Access/Disclosure, Hacking/IT Incident","Network Server, Electronic Medical Record"
CVS Caremark,RI,,955,Theft,Paper
Memorial Hospital,OH,,500,Improper Disposal,Paper
"SURGICAL ASSOCIATES OF UTICA, PC",NY,QUANTERION SOLUTIONS INC,1017,Theft,Network Server
Illinois Department of Healthcare and Family Services,IL,"University of Illinois, College of Nursing",508,Theft,Paper
Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center,FL,,2560,Theft,Electronic Medical Record
"WYATT DENTAL GROUP, LLC",LA,,10271,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record
Women & Infants Hospital of Rhode Island,RI,,14004,Loss,Other
Memorial Health System,CO,,6262,Loss,Paper
CHRISTUS St. John Hospital,TX,,5748,Loss,Other Portable Electronic Device
L.A. Care Health Plan,CA,,18000,Other,Other
"Hawaii State Department of Health, Adult Mental Health Division",HI,,674,Hacking/IT Incident,Desktop Computer
"Soundental Associates, PC",CT,,14511,Theft,Other Portable Electronic Device
"Original Medicine Acupuncture & Wellness, LLC",NM,,540,Theft,Laptop
Brigham and Women's Hospital,MA,,615,Theft,Desktop Computer
"St. Francis Health Network, aka Franciscan Alliance ACO",IN,"Advantage Health Solutions, Inc.",2575,Other,Other
"James M. McGee, D.M.D., P.C.",GA,,1306,Theft,Paper
Robbins Eye Center PC,CT,,1749,Theft,Desktop Computer
"Advanced Data Processing, Inc.",FL,,10000,Theft,Desktop Computer
Cuyahoga County Board of Developmental Disabilities,OH,,613,Theft,Laptop
Okaloosa County Public Safety,FL,"Advanced Data Processing, Inc.",715,Theft,Desktop Computer
City of Covington Kentucky Fire Department ,KY,Advanced Data Processing Inc,1548,Theft,Desktop Computer
Northern Trust,IL,Blue Cross Blue Shield,500,Unauthorized Access/Disclosure,Network Server
Vidant Pungo Hospital,NC,,1100,Improper Disposal,Paper
County of San Bernardino Department of Public Heatlh,CA,,1370,Unauthorized Access/Disclosure,Paper
City of Overland Park Fire Department,FL,"Advanced Data Processing, Inc.",911,Theft,Desktop Computer
Sumner County Emergency Medical Services,TN,"Advanced Data Processing, Inc",774,Theft,Desktop Computer
City of El Centro Fire Department,CA,ADPI-West,1500,"Theft, Unauthorized Access/Disclosure",Desktop Computer
Landmark Medical Center,RI,,683,Theft,Laptop
City of Atlanta/ Atlanta Fire Rescue Department,GA,Advanced Data Processing Inc.,908,Theft,Desktop Computer
University of Virginia Medical Center,VA,,1846,Loss,Other Portable Electronic Device
Osceola County EMS ,FL,Advanced Data Processing Inc,949,Theft,Desktop Computer
Carolinas Medical Center - Randolph,NC,,5600,Hacking/IT Incident,E-mail
"Coastal Behavioral Healthcare, Inc.",FL,,4907,Theft,Paper
"CCS Medical, Inc.",TX,,6601,Unauthorized Access/Disclosure,"Network Server, Other"
"City of Gloucester, Fire Department",MA,"Advanced  Data Processing, Inc.",1286,Theft,Desktop Computer
Columbia University Medical Center and NewYork-Presbyterian Hospital,NY,,4929,Theft,Desktop Computer
Baptist Health System,AR,Health Advantage,811,Other,Paper
"DFA, Employee Benefits Division",AR,Health Advantage,7039,Other,Paper
Health Advantage,AR,,2863,Other,Paper
University of Michigan Health System,MI,"Omnicell, Inc.",3999,Theft,Laptop
Westerville Dental Center,OH,,850,Theft,"Laptop, Network Server"
"OHP PHSP, Inc.",NY,"HealthPlus, Amerigroup",28187,Unauthorized Access/Disclosure,Other
"Center for Orthopedic Research and Education, Inc.",AZ,,35488,Theft,Paper
Calif. Dept. of Health Care Services (DHCS),CA,,2643,Unauthorized Access/Disclosure,Other
Richard Switzer MD PC,MI,,4100,Other,Laptop
Gibson General Hospital,IN,,28893,Theft,Laptop
"Sovereign Medical Group, LLC",NJ,,27800,"Theft, Hacking/IT Incident",Network Server
"Cabinet for Health & Family Services, Department of Medicaid Services",KY,HP Enterprise Services,1090,Hacking/IT Incident,Laptop
"Harbor Medical Associates, P.C.",MA,"Clearpoint Design, Inc.",4343,Hacking/IT Incident,Network Server
Sentara Healthcare,VA,"Omnicell, Inc.",56820,Theft,Laptop
St. Mark's Medical Center,TX,,2988,Hacking/IT Incident,Desktop Computer
Group Health Incorporated,NY,,1771,Theft,Paper
"Calvin Schuster,MD",CA,,532,Theft,Desktop Computer
"Granite Medical Group, Inc.",MA,"Clearpoint Design, Inc.",4125,Hacking/IT Incident,Network Server
University of Nevada School of Medicine,NV,,1483,Improper Disposal,Paper
Dimensions Healthcare System,MD,WorkflowOne,635,Unauthorized Access/Disclosure,Paper
SilverScript Insurance Company,AZ,,852,Unauthorized Access/Disclosure,Paper
South Jersey Hospital Inc.,NJ,Omnicell Inc.,8555,Theft,Laptop
"Child & Family Psychological Services, Inc.",MA,"Clearpoint Design, Inc.",7250,Hacking/IT Incident,Network Server
Pousson Family Dentistry,LA,,1400,Theft,Laptop
South Shore Medical Center,MA,"Clearpoint Design, Inc.",4100,Hacking/IT Incident,Network Server
"Lee D. Pollan, DMD, PC",NY,,19178,Theft,Laptop
Washington University School of Medicine,MO,,1105,Theft,Laptop
Riderwood Village,MD,,3230,Theft,Laptop
WAYNE MEMORIAL HOSPITAL,PA,,1184,Loss,Other
Baptist Health System,TX,,678,Unauthorized Access/Disclosure,Electronic Medical Record
Baillie Lumber Co. Group Health Plan,NY,BlueCross BlueShield of Western New York,725,Theft,Paper
The University of Texas MD Anderson Cancer Center,TX,,29021,Theft,Laptop
"Western Wisconsin Medical Association, S.C. - River Falls Medical Clinics",WI,,2400,Theft,Paper
Boy Scouts of America Employee Benefit Plan,TX,RR Donnelley (a sub-BA for UnitedHealth Group),8911,Theft,Desktop Computer
Kmart Corporation,IL,Kmart Pharmacy #7623,16988,Improper Disposal,Paper
Community Services NW,AL,,2400,Theft,Desktop Computer
American HomePatient Inc. ,TN,LifeGas,1103,Theft,Laptop
Yadkinville Chiropractic DCPA,NC,Yadkinville Chiropractic DCPA,1000,Theft,Desktop Computer
"Intervention Services, Inc.",FL,,1200,Theft,Laptop
West Georgia Ambulance,GA,,500,Loss,Laptop
"Center for Pain Management, LLC",MD,,5822,Theft,Laptop
Multiple Health Plans,CA,"Coast Healthcare Management, LLC",1368,"Theft, Other",Paper
Froedtert Health,WI,,43549,Unauthorized Access/Disclosure,Other
Jackson Health System,FL,,566,Other,Paper
Riderwood Village,MD,,5270,Theft,Laptop
"Kindred Healthcare, Inc. d/b/a Kindred Transitional Care and Rehabilitation - Marl",MA,,716,Theft,Other Portable Electronic Device
"HomeCare of Mid-Missouri, Inc.",MO,,4027,Theft,Laptop
Heyman HospiceCare at Floyd,GA,,1819,Theft,Laptop
Agency for Health Care Administration,FL,"DentaQuest of Florida, Inc.",1892,Unauthorized Access/Disclosure,Paper
ABQ HealthPartners,NM,,778,Theft,Laptop
Terrell County Health Department,GA,,18000,Unauthorized Access/Disclosure,Network Server
Florida Healthy Kids Corporation,FL,"DentaQuest of Florida, LLC",3667,Unauthorized Access/Disclosure,Paper
Stronghold Counseling Services Inc,SD,,8500,Theft,Desktop Computer
Arizona Oncology,AZ,,501,Theft,Laptop
Crescent Health Inc. - a Walgreens Company,CA,,109000,Theft,Desktop Computer
"County of San Bernardino, Department of Behavioral Health",CA,,686,Theft,Paper
"WOMENS HEALTH ENTERPRISE, INC.",GA,,3000,Theft,Laptop
The Brookdale University Hospital and Medical Center,NY,Standard Register,2261,Theft,Paper
The Brookdale University Hospital and Medical Center,NY,Health Plus Amerigroup,28187,Theft,Other Portable Electronic Device
"Ultra Stores, Inc.",IL,Plexus Group,500,Unauthorized Access/Disclosure,Other
South Miami Hospital,FL,,834,Unauthorized Access/Disclosure,Electronic Medical Record
Lancaster General Medical Group,PA,,527,Theft,Paper
Maine Medical Center,ME,,1920,Other,E-mail
"State of California, Dept. of Developmental Services",CA,North Los Angeles County Regional Center ,18162,Theft,Laptop
Utah Department of Health ,UT,Goold Health System (Goold),6332,Loss,Other Portable Electronic Device
Sports Rehabilitation Consultants,OH,,1200,Theft,Desktop Computer
University of Connecticut Health Center,CT,,1382,Unauthorized Access/Disclosure,Network Server
"United HomeCare Services, Inc.",FL,,12299,Theft,Laptop
United Home Care Services of Southwest Florida< LLC,FL,"United HomeCare Services, Inc.",1318,Theft,Laptop
"catoctin Dental/Richard B. Love, DDS, PA",MD,Patterson Dental Supply/Patterson Companies,6400,Hacking/IT Incident,Network Server
Empire Blue Cross Blue Shield,IN,Connextions c/o Empire BCBS,2608,"Theft, Unauthorized Access/Disclosure",Network Server
Anthem Blue Cross Blue Shield (OH),IN,Connextions c/o Anthem BCBS,1678,"Theft, Unauthorized Access/Disclosure",Network Server
